,trades,win_rate_pct,net_pnl_inr,profit_factor,expectancy_inr
11:00-14:00 (European Pre-Market),3,33.3,-81.45,4.47,-27.15
09:00-11:00 (Opening Discovery),3,66.7,108.45,148.0,36.15
