timestamp,trade_id,gross_pnl_inr,cumulative_gross_pnl,fees_inr,cumulative_fees,slippage_cost_inr,cumulative_slippage,net_pnl_inr,cumulative_net_pnl,drawdown_inr,drawdown_pct
2026-09-01T11:42:00+05:30,BT_0001,-38.0,-38.0,61.85,61.85,2.0,2.0,-99.85,-99.85,99.85,0.049925000000000004
2026-09-01T14:22:00+05:30,BT_0002,84.0,46.0,61.81,123.66,2.0,4.0,22.19,-77.66,77.66,0.03883
2026-09-02T10:22:00+05:30,BT_0003,201.0,247.0,61.83,185.49,2.0,6.0,139.17,61.50999999999999,0.0,0.0
2026-09-02T12:02:00+05:30,BT_0004,62.0,309.0,61.85,247.34,2.0,8.0,0.15,61.65999999999999,0.0,0.0
2026-09-02T14:02:00+05:30,BT_0005,-9.0,300.0,61.85,309.19,2.0,10.0,-70.85,-9.190000000000005,70.85,0.035414081838569166
2026-09-03T10:12:00+05:30,BT_0006,176.0,476.0,61.87,371.06,2.0,12.0,114.13,104.94,0.0,0.0
2026-09-03T11:37:00+05:30,BT_0007,-12.0,464.0,61.89,432.95,2.0,14.0,-73.89,31.049999999999997,73.89,0.03692562512449717
2026-09-03T12:52:00+05:30,BT_0008,165.0,629.0,61.86,494.81,2.0,16.0,103.14,134.19,0.0,0.0
2026-09-03T14:02:00+05:30,BT_0009,192.0,821.0,61.83,556.64,2.0,18.0,130.17,264.36,0.0,0.0
