trade_id,strategy,instrument,contract,direction,entry_time,entry_price,exit_time,exit_price,stop_loss,target,quantity,lots,gross_pnl_inr,net_pnl_inr,pnl_points,slippage_pts,slippage_cost_inr,fees_inr,mfe_pts,mae_pts,hold_bars,hold_minutes,regime,time_of_day_bucket,exit_reason,is_ambiguous_bar,is_oos
BT_0001,DonchianBreakout,SILVERMIC,SILVERMIC,BUY,2026-09-01T10:52:00+05:30,85212.0,2026-09-01T11:42:00+05:30,85174.0,85144.0,85378.0,1,1,-38.0,-99.85,-38.0,2.0,2.0,61.85,52.5,49.0,10,50.0,BREAKOUT,09:00-11:00 (Opening Discovery),DONCHIAN_CHANNEL_EXIT_LONG (Price 85175.1 < 10-period Low 85175.8),False,False
BT_0002,DonchianBreakout,SILVERMIC,SILVERMIC,SELL,2026-09-01T12:47:00+05:30,85000.0,2026-09-01T14:22:00+05:30,84916.0,85077.0,84811.0,1,1,84.0,22.19,84.0,2.0,2.0,61.81,172.39999999999418,7.0,19,95.0,TREND,11:00-14:00 (European Pre-Market),DONCHIAN_CHANNEL_EXIT_SHORT (Price 84915.5 > 10-period High 84909.5),False,False
BT_0003,DonchianBreakout,SILVERMIC,SILVERMIC,BUY,2026-09-02T09:27:00+05:30,84966.0,2026-09-02T10:22:00+05:30,85167.0,84884.0,85168.0,1,1,201.0,139.17,201.0,2.0,2.0,61.83,218.6999999999971,9.19999999999709,11,55.0,BREAKOUT,09:00-11:00 (Opening Discovery),TARGET_HIT,False,False
BT_0004,DonchianBreakout,SILVERMIC,SILVERMIC,BUY,2026-09-02T10:27:00+05:30,85178.0,2026-09-02T12:02:00+05:30,85240.0,85091.0,85388.0,1,1,62.0,0.15,62.0,2.0,2.0,61.85,159.1999999999971,14.30000000000291,19,95.0,BREAKOUT,09:00-11:00 (Opening Discovery),DONCHIAN_CHANNEL_EXIT_LONG (Price 85240.9 < 10-period Low 85251.3),False,False
BT_0005,DonchianBreakout,SILVERMIC,SILVERMIC,SELL,2026-09-02T12:37:00+05:30,85180.0,2026-09-02T14:02:00+05:30,85189.0,85254.0,84998.0,1,1,-9.0,-70.85,-9.0,2.0,2.0,61.85,95.30000000000291,17.5,17,85.0,BREAKOUT,11:00-14:00 (European Pre-Market),DONCHIAN_CHANNEL_EXIT_SHORT (Price 85187.8 > 10-period High 85180.6),False,False
BT_0006,DonchianBreakout,SILVERMIC,SILVERMIC,BUY,2026-09-02T14:22:00+05:30,85229.0,2026-09-03T10:12:00+05:30,85405.0,85157.0,85406.0,1,1,176.0,114.13,176.0,2.0,2.0,61.87,180.89999999999418,47.30000000000291,20,100.0,BREAKOUT,14:00-17:00 (European Active),TARGET_HIT,False,False
BT_0007,DonchianBreakout,SILVERMIC,SILVERMIC,BUY,2026-09-03T10:17:00+05:30,85395.0,2026-09-03T11:37:00+05:30,85383.0,85316.0,85589.0,1,1,-12.0,-73.89,-12.0,2.0,2.0,61.89,61.80000000000291,25.39999999999418,16,80.0,BREAKOUT,09:00-11:00 (Opening Discovery),DONCHIAN_CHANNEL_EXIT_LONG (Price 85383.9 < 10-period Low 85393.2),False,False
BT_0008,DonchianBreakout,SILVERMIC,SILVERMIC,SELL,2026-09-03T12:07:00+05:30,85330.0,2026-09-03T12:52:00+05:30,85165.0,85398.0,85164.0,1,1,165.0,103.14,165.0,2.0,2.0,61.86,184.10000000000582,11.69999999999709,9,45.0,BREAKOUT,11:00-14:00 (European Pre-Market),TARGET_HIT,False,False
BT_0009,DonchianBreakout,SILVERMIC,SILVERMIC,SELL,2026-09-03T12:57:00+05:30,85162.0,2026-09-03T14:02:00+05:30,84970.0,85242.0,84969.0,1,1,192.0,130.17,192.0,2.0,2.0,61.83,202.1999999999971,19.5,13,65.0,TREND,11:00-14:00 (European Pre-Market),TARGET_HIT,False,False
