timestamp,trade_id,gross_pnl_inr,cumulative_gross_pnl,fees_inr,cumulative_fees,slippage_cost_inr,cumulative_slippage,net_pnl_inr,cumulative_net_pnl,drawdown_inr,drawdown_pct
2026-09-01T13:27:00+05:30,BT_0001,134.0,134.0,61.81,61.81,2.0,2.0,72.19,72.19,0.0,0.0
2026-09-01T14:17:00+05:30,BT_0002,-41.0,93.0,61.79,123.6,2.0,4.0,-102.79,-30.60000000000001,102.79,0.05137645566832652
2026-09-02T09:52:00+05:30,BT_0003,144.0,237.0,61.82,185.42,2.0,6.0,82.18,51.58,20.61,0.010301281752351487
2026-09-02T10:37:00+05:30,BT_0004,152.0,389.0,61.86,247.27999999999997,2.0,8.0,90.14,141.72,0.0,0.0
2026-09-02T11:42:00+05:30,BT_0005,-2.0,387.0,61.87,309.15,2.0,10.0,-63.87,77.85,63.870000000000005,0.03191238688265496
2026-09-02T13:37:00+05:30,BT_0006,11.0,398.0,61.85,371.0,2.0,12.0,-50.85,26.999999999999993,114.72,0.057319383484862624
2026-09-03T09:57:00+05:30,BT_0007,126.0,524.0,61.86,432.86,2.0,14.0,64.14,91.13999999999999,50.58000000000001,0.025272092195470296
2026-09-03T11:37:00+05:30,BT_0008,27.0,551.0,61.89,494.75,2.0,16.0,-34.89,56.249999999999986,85.47000000000001,0.04270473942164583
2026-09-03T12:47:00+05:30,BT_0009,126.0,677.0,61.86,556.61,2.0,18.0,64.14,120.38999999999999,21.330000000000013,0.010657448132253491
2026-09-03T13:32:00+05:30,BT_0010,137.0,814.0,61.83,618.44,2.0,20.0,75.17,195.56,0.0,0.0
