timestamp,trade_id,gross_pnl_inr,cumulative_gross_pnl,fees_inr,cumulative_fees,slippage_cost_inr,cumulative_slippage,net_pnl_inr,cumulative_net_pnl,drawdown_inr,drawdown_pct
2026-09-01T11:27:00+05:30,BT_0001,5.0,5.0,61.85,61.85,2.0,2.0,-56.85,-56.85,56.85,0.028425
2026-09-01T11:42:00+05:30,BT_0002,-51.0,-46.0,61.85,123.7,2.0,4.0,-112.85,-169.7,169.7,0.08485
2026-09-01T12:02:00+05:30,BT_0003,-52.0,-98.0,61.84,185.54000000000002,2.0,6.0,-113.84,-283.53999999999996,283.53999999999996,0.14176999999999998
2026-09-01T13:37:00+05:30,BT_0004,104.0,6.0,61.8,247.34000000000003,2.0,8.0,42.2,-241.33999999999997,241.33999999999997,0.12066999999999997
2026-09-02T10:37:00+05:30,BT_0005,111.0,117.0,61.85,309.19000000000005,2.0,10.0,49.15,-192.18999999999997,192.18999999999997,0.09609499999999999
2026-09-02T12:02:00+05:30,BT_0006,-48.0,69.0,61.86,371.05000000000007,2.0,12.0,-109.86,-302.04999999999995,302.04999999999995,0.151025
2026-09-02T12:27:00+05:30,BT_0007,-48.0,21.0,61.86,432.9100000000001,2.0,14.0,-109.86,-411.90999999999997,411.90999999999997,0.20595499999999997
2026-09-02T12:42:00+05:30,BT_0008,-54.0,-33.0,61.85,494.7600000000001,2.0,16.0,-115.85,-527.76,527.76,0.26387999999999995
2026-09-03T10:02:00+05:30,BT_0009,79.0,46.0,61.87,556.6300000000001,2.0,18.0,17.13,-510.63,510.63,0.255315
2026-09-03T11:27:00+05:30,BT_0010,24.0,70.0,61.89,618.5200000000001,2.0,20.0,-37.89,-548.52,548.52,0.27426
2026-09-03T11:57:00+05:30,BT_0011,-50.0,20.0,61.89,680.4100000000001,2.0,22.0,-111.89,-660.41,660.41,0.33020499999999997
2026-09-03T13:47:00+05:30,BT_0012,110.0,130.0,61.82,742.2300000000001,2.0,24.0,48.18,-612.23,612.23,0.30611499999999997
