,trades,win_rate_pct,net_pnl_inr,profit_factor,expectancy_inr
09:00-11:00 (Opening Discovery),4,50.0,-28.46,6.55,-7.12
11:00-14:00 (European Pre-Market),8,25.0,-583.77,0.71,-72.97
